"filename", "language", "PowerShell", "TypeScript", "Markdown", "MS SQL", "JSON with Comments", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\scripts\fix-purchase-order-access-policies.sql", "MS SQL", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 1, 12, 208
"c:\Users\HP\Downloads\Main_Dashboard\scripts\fix-purchase-order-denial-status-enum.sql", "MS SQL", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\HP\Downloads\Main_Dashboard\scripts\fix-purchase-order-timezones.sql", "MS SQL", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 10, 25, 125
"c:\Users\HP\Downloads\Main_Dashboard\scripts\setup-purchase-orders-user.sql", "MS SQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 31, 5, 39
"c:\Users\HP\Downloads\Main_Dashboard\scripts\setup-storage-policies.sql", "MS SQL", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 9, 7, 39
"c:\Users\HP\Downloads\Main_Dashboard\scripts\update-admin-user.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 123
"c:\Users\HP\Downloads\Main_Dashboard\scripts\update-purchase-order-status-enum.sql", "MS SQL", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 4, 11, 81
"c:\Users\HP\Downloads\Main_Dashboard\scripts\update-purchase-orders-workflow.sql", "MS SQL", 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 71, 60, 501
"c:\Users\HP\Downloads\Main_Dashboard\tailwind.config.ts", "TypeScript", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 192
"c:\Users\HP\Downloads\Main_Dashboard\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
