"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\test-be-endpoints.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 3, 8, 43
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\test-be-queries.ts", "TypeScript", 0, 0, 0, 107, 0, 0, 0, 1, 14, 122
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\test-open-ro-sql.ts", "TypeScript", 0, 0, 0, 118, 0, 0, 0, 0, 12, 130
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\test-overview-payload.ts", "TypeScript", 0, 0, 0, 142, 0, 0, 0, 5, 7, 154
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\test-trend-fy.ts", "TypeScript", 0, 0, 0, 205, 0, 0, 0, 1, 15, 221
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\analyze-hyundai-data-coverage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\clean-next-dev-types.js", "JavaScript", 0, 0, 0, 0, 0, 0, 44, 0, 9, 53
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\cleanup-warranty-remarks.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 17, 110
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\create-petty-cash.sql", "MS SQL", 0, 0, 0, 0, 0, 454, 0, 2, 26, 482
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\create-user-activity-events.sql", "MS SQL", 0, 0, 0, 0, 0, 36, 0, 0, 11, 47
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\inspect-open-ro-columns.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\petty-cash-hold-statuses.sql", "MS SQL", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\repair-hyundai-business-excellence-data.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 256, 0, 31, 287
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\setup-hyundai-business-excellence-parity.js", "JavaScript", 0, 0, 0, 0, 0, 0, -14, 0, -1, -15
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\setup-hyundai-business-excellence-parity.sql", "MS SQL", 0, 0, 0, 0, 0, 79, 0, 0, 8, 87
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\supabase-performance-fast-follow-2026-06-26.sql", "MS SQL", 0, 0, 0, 0, 0, 22, 0, 2, 8, 32
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\verify-hyundai-business-excellence-parity.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 55, 0, 1, 56
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\verify-hyundai-dealer-registry.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\verify-platinum-business-excellence.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, 0, 1, 0
"c:\Users\sahil\Downloads\am_group_main_dashboard\scripts\warranty-claim-performance-and-retention.sql", "MS SQL", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\sahil\Downloads\am_group_main_dashboard\tsconfig.json", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"Total", "-", 11, 4, 180, 6298, 5131, 603, 351, 19, 1096, 13693
