"filename", "language", "JSON with Comments", "Markdown", "PowerShell", "TypeScript", "MS SQL", "JavaScript", "XML", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\kia-complaints-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1128, 0, 2, 72, 1202
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\kia-proforma-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1267, 0, 1, 68, 1336
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\open-ro-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1250, 0, 2, 79, 1331
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\performance-diagnostics-panel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 18, 264
"c:\Users\HP\Downloads\Main_Dashboard\lib\api\client-timing.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 15, 109
"c:\Users\HP\Downloads\Main_Dashboard\lib\api\timing.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 14, 93
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\app-user.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 24, 134
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\auth-helpers.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 10, 36
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\brand-access.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\Users\HP\Downloads\Main_Dashboard\lib\branch-module-access.ts", "TypeScript", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 21, 202
"c:\Users\HP\Downloads\Main_Dashboard\lib\branches.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\HP\Downloads\Main_Dashboard\lib\business-excellence\comparison.ts", "TypeScript", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 18, 184
"c:\Users\HP\Downloads\Main_Dashboard\lib\business-excellence\executive-targets.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\HP\Downloads\Main_Dashboard\lib\business-excellence\workshop-classification.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\HP\Downloads\Main_Dashboard\lib\dashboard-config.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 5, 69
"c:\Users\HP\Downloads\Main_Dashboard\lib\date-time.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 33, 147
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\index.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 3, 13, 83
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\schema.ts", "TypeScript", 0, 0, 0, 731, 0, 0, 0, 0, 0, 0, 32, 58, 821
"c:\Users\HP\Downloads\Main_Dashboard\lib\finance-orders\access.ts", "TypeScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 24, 140
"c:\Users\HP\Downloads\Main_Dashboard\lib\hooks\use-user-preferences.ts", "TypeScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 5, 20, 136
"c:\Users\HP\Downloads\Main_Dashboard\lib\hooks\use-user-role.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\HP\Downloads\Main_Dashboard\lib\kia-proforma\access.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
