"filename", "language", "JSON with Comments", "PowerShell", "Markdown", "TypeScript", "MS SQL", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 9, 195
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\dynamic-row-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 320, 0, 16, 36, 372
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 1, 7, 104
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 6, 33
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 13, 121
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 18, 199
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 24, 169
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 5, 28
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 14, 159
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 6, 27
"c:\Users\HP\Downloads\Main_Dashboard\config\env-config.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 12, 5, 42
"c:\Users\HP\Downloads\Main_Dashboard\context\sidebar-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\HP\Downloads\Main_Dashboard\drizzle.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\HP\Downloads\Main_Dashboard\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"c:\Users\HP\Downloads\Main_Dashboard\features\dashboard\dashboard-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 4, 6, 126
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4824, 0, 25, 329, 5178
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\open-ro-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 601, 0, 2, 47, 650
"c:\Users\HP\Downloads\Main_Dashboard\lib\api\timing.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\app-user.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\auth-helpers.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 10, 36
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\brand-access.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\Users\HP\Downloads\Main_Dashboard\lib\branches.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\HP\Downloads\Main_Dashboard\lib\date-time.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 33, 147
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\index.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 5, 31
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\schema.ts", "TypeScript", 0, 0, 0, 428, 0, 0, 0, 0, 0, 0, 29, 44, 501
"c:\Users\HP\Downloads\Main_Dashboard\lib\hooks\use-user-preferences.ts", "TypeScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 5, 20, 136
"c:\Users\HP\Downloads\Main_Dashboard\lib\hooks\use-user-role.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\HP\Downloads\Main_Dashboard\lib\notifications\types.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\HP\Downloads\Main_Dashboard\lib\notifications\workflow.ts", "TypeScript", 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 37, 343
"c:\Users\HP\Downloads\Main_Dashboard\lib\purchase-orders\access.ts", "TypeScript", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 28, 260
"c:\Users\HP\Downloads\Main_Dashboard\lib\redis\cache-utils.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 24, 24, 130
"c:\Users\HP\Downloads\Main_Dashboard\lib\redis\client.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 9, 43
