"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\page.tsx", "TypeScript JSX", 22, 0, 0, 0, 7, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\loading.tsx", "TypeScript JSX", 16, 0, 0, 0, 1, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\page.tsx", "TypeScript JSX", 49, 0, 0, 0, 12, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 29, 0, 0, 0, 7, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\demo-cars-list\page.tsx", "TypeScript JSX", 17, 0, 0, 0, 6, 23
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\demo-job-cards\page.tsx", "TypeScript JSX", 17, 0, 0, 0, 6, 23
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\proforma\[section]\page.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\proforma\page.tsx", "TypeScript JSX", 16, 0, 0, 0, 4, 20
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\ro-billing\page.tsx", "TypeScript JSX", 603, 0, 0, 24, 78, 705
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\service-appointment\page.tsx", "TypeScript JSX", 22, 0, 0, 0, 7, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\[...module]\page.tsx", "TypeScript JSX", 106, 0, 0, 0, 13, 119
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\business-excellence\page.tsx", "TypeScript JSX", 29, 0, 0, 0, 7, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\page.tsx", "TypeScript JSX", 27, 0, 0, 0, 7, 34
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\dashboard\page.tsx", "TypeScript JSX", 60, 0, 0, 0, 6, 66
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\finance-orders\page.tsx", "TypeScript JSX", 23, 0, 0, 0, 5, 28
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\forbidden.tsx", "TypeScript JSX", 20, 0, 0, 0, 2, 22
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\globals.css", "PostCSS", 0, 1508, 0, 0, 215, 1723
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\layout.tsx", "TypeScript JSX", 69, 0, 0, 0, 6, 75
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\page.tsx", "TypeScript JSX", 16, 0, 0, 1, 4, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\purchase-orders\page.tsx", "TypeScript JSX", 2250, 0, 0, 3, 239, 2492
"Total", "-", 3875, 1508, 28562, 50, 3119, 37114
