"filename", "language", "TypeScript", "Markdown", "JSON", "JavaScript", "PowerShell", "JSON with Comments", "TypeScript JSX", "MS SQL", "Log", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\price-details\upload\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\quote\route.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 132
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\route.ts", "TypeScript", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 325
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\settings\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\stock\route.ts", "TypeScript", 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 23, 318
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-performance\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-performance\targets\route.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\freshness\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\reports\route.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 106
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\summary\route.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\service-appointment\route.ts", "TypeScript", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 402
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock-report\freshness\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock-report\reports\route.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock-report\summary\route.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock\bbnd-allot\route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock\hold\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\vehicle-tracker\[id]\route.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 59
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\vehicle-tracker\route.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\preview\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\route.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 106
