"filename", "language", "Log", "JSON with Comments", "Markdown", "PowerShell", "JSON", "JavaScript", "TypeScript", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\demo-job-cards\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\proforma\[section]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\proforma\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\ro-billing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 603, 0, 24, 78, 705
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\service-appointment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\platinum\[...module]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 13, 119
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\platinum\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\platinum\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 7, 34
"c:\Users\HP\Downloads\Main_Dashboard\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\HP\Downloads\Main_Dashboard\app\finance-orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\HP\Downloads\Main_Dashboard\app\forbidden.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\Users\HP\Downloads\Main_Dashboard\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1508, 0, 215, 1723
"c:\Users\HP\Downloads\Main_Dashboard\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 6, 75
"c:\Users\HP\Downloads\Main_Dashboard\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 4, 21
"c:\Users\HP\Downloads\Main_Dashboard\app\purchase-orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2232, 0, 3, 238, 2473
"c:\Users\HP\Downloads\Main_Dashboard\components.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\activity-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\integration-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 4, 69
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\kpi-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\sales-distribution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\sales-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 4, 99
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\subscriber-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 4, 68
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 3, 33, 316
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\main-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
